"Season" "Episode" "Character" "Text"
" "Yes you did, you just flipped me the bird! Now, see? This is exactly what I'm talking about! If you don't shape up, m'kay, and get your head straight, uh- [Craig flips Mr. Mackey off again] There! You just flipped me off again!
"
"03" "01" "Craig:
" "No I didn't.
"
"03" "01" "Mr. Mackey:
" "Yes you did! And until you stop flipping people off, you can just go back to the waiting room, m'kay?! Next! [Craig hops off the chair as the door opens. The boys enter] Well, well, well, if it isn't Stan, Kyle, Kenny, and Eric. [Craig exits]
"
"03" "01" "Kyle:
" "Hey, Craig.
"
"03" "01" "Eric:
" "Ey, don't flip me off, you son of a bitch!
"
"03" "01" "Mr. Mackey:
" "Sit down, boys. Now, let's see. What did Mr. Garrison send you in here for? The boys were being rude while a choir teacher was giving some stupid presentation-
"
"03" "01" "Stan:
" "It's just some dumb activist kids' choir thing.
"
"03" "01" "Mr. Mackey:
" "Uh, young man, Getting Gay With Kids is not dumb, m'kay? It just so happens that I'm on the board of directors.
"
"03" "01" "Kyle:
" "Dude! All those choirs are the same. They don't even really sing. They use prerecorded tapes.
"
"03" "01" "Mr. Mackey:
" "Well, guess what, boys? I think that Getting Gay With Kids is just what you need. I'm gonna sign up all four of you.
"
"03" "01" "Stan:
" "What?!
"
"03" "01" "Kyle:
" "You can't do that! [Cartman's jaw drops]
"
"03" "01" "Kenny:
" "(Woohoo!) [the boys look at him] (I mean, 'Oh.') [looks down]
"
"03" "01" "Mr. Mackey:
" "I think this will be very good for you [writes their names down]
"
"03" "01" "Stan:
" "But we don't even care about the rainforest.
"
"03" "01" "Mr. Mackey:
" "And that's exactly why you need to go!
"
"03" "01" "Cartman:
" "[drops down and pleads] Please, Mr. Mackey, we'll be good. Don't send us to that ole kids' choir. Have mercy, Mr. Mackey.
"
"03" "01" "
" "[Kyle's house, some days later. The Get Gay With Kids bus pulls up to Kyle's house to pick up Kyle, Cartman, and Stan]
"
"03" "01" "Sheila:
" "Be safe, Kyle. Bring me something back from the rainforest.
"
"03" "01" "Choir Teacher:
" "Oh, nonono. The rainforest is very fragile. We must take only pictures and leave only footprints.
"
"03" "01" "Sheila:
" "Oh, I didn't realize.
"
"03" "01" "Choir Boy:
" "Did you know that right now, bulldozers are tearing down thousands of acres of rainforest every day?
"
"03" "01" "Cartman:
" "[as he enters the bus] Aw, man, this is gonna suck donkey balls.
"
"03" "01" "Stan:
" "[As Sharon drags him to the bus] Please don't make me go on a choir tour, Mom, please!
"
"03" "01" "Sharon:
" "Stan, you should be excited. I would love to see the rainforest. Besides, your dad and I need some time alone. [tosses him into the bus]
"
"03" "01" "Stan:
" "Nooo-ho! [The door closes and the bus pulls away. Stan and Kyle look out the back window in dismay]
"
"03" "01" "Choir Teacher:
" "Okay, children, that's all of us. We're ready to head for the Latin American nation of Costa Rica, a country filled with virgin rainforest.
"
"03" "01" "Cartman:
" "Whoopee.
"
"03" "01" "Choir Teacher:
" "And you must be Eric Cartman. I've heard about you. You don't respect nature or other cultures.
"
"03" "01" "Cartman:
" "Yeah, pretty much.
"
"03" "01" "Choir Teacher:
" "Well, I'm gonna change the way you think, kiddo.
"
"03" "01" "Choir Girl:
" "[Kenny sits next to her] My name's Kelly.
"
"03" "01" "Kenny:
" "(My name's Kenny.)
"
"03" "01" "Kelly:
" "Lenny?
"
"03" "01" "Kenny:
" "(No, it's Kenny.)
"
"03" "01" "Kelly:
" "Johnny?
"
"03" "01" "Kenny:
" "(Kenny!)
"
"03" "01" "Kelly:
" "Oh. [looks away and picks her nose.]
"
"03" "01" "Choir Girl:
" "Now, we've got a looong trip ahead of us, so let's take the opportunity to learn our choreography.
"
"03" "01" "Cartman:
" "[hushed] The nightmare begins.
"
"03" "01" "
" "[The bus rolls along. A map pops up, showing the bus's route, and Latin music plays. It crosses the border at Mexicali, goes down the Baja peninsula, takes a ferry to Mexico and cuts across the North to the Gulf, then snakes down Central America to Costa Rica. They arrive at San José.]
"
"03" "01" "Choir Teacher:
" "Oh, look, children! I think we're entering San José, which is the capital of Costa Rica. [the kids move to their windows and look out] Oh! This is so exciting!
"
"03" "01" "Cartman:
" "Oh my God! Dude, look at how dirty and crappy everything is!
"
"03" "01" "Choir Teacher:
" "Eric, Costa Rica is a Third-World country. These people are much poorer than those in the U.S.
"
"03" "01" "Cartman:
" "Well, why the hell don't they get jobs?! [Throws open his window and yells] Ey! Why don't you people quit slacking off, andget a job! What's wrong with you?! Go to college!
"
"03" "01" "Choir Teacher:
" "Eric, sit down!
"
"03" "01" "Cartman:
" "[sits] Look, you've gotta be firm with these people or they just slack off and be poor forever. Right, Kenny? [Kenny looks at him angrily] Hey, maybe that's it, Kenny. Maybe you're Costa Rican; that's why your family's so poor.
"
"03" "01" "Kenny:
" "[to Kelly] (Argh! That's just so untrue.)
"
"03" "01" "Kelly:
" "[picks her nose] Your family isn't poor? [picks her nose]
"
"03" "01" "Cartman:
" "Whoa, dude, look over there! [The bus stops. There are three women in front of a shop. A man has just dropped them off, pays them and drives away, and they wave at him.] Wow! Costa Rican prostitutes! Hey, look at the prostitutes, you guys!
"
"03" "01" "Redheaded Prostitute:
" "[with heavy accent] What are chu looking at, man?
"
"03" "01" "Middle Prostitute:
" "Yeah, why don't chu take a peekture?
"
"03" "01" "Cartman:
" "Okay. [pretends] Kugheek! [grins]
"
"03" "01" "Choir Teacher:
" "Eric, SIT DOWN!
"
"03" "01" "
" "[the bus stops at the Centro Nacional de Costa Rica and all exit]
"
"03" "01" "Choir Teacher:
" "Kids, this is the Costa Rican Capitol building. This is where all the leaders of the Costa Rican government make their-
"
"03" "01" "Cartman:
" "[rushing out] Oh my God, [covers his nose] it smells like ass out here.
"
"03" "01" "Choir Teacher:
" "Alll right, that does it! [turns Cartman around] Eric Cartman, you respect other cultures this instant!
"
"03" "01" "Cartman:
" "[covers his nose again] I wasn't saying anything about their culture, I was just saying their city smells like ass.
"
"03" "01" "Kelly:
" "Wow, seeing a place like this really makes you appreciate living in America, huh?
"
"03" "01" "Kenny:
" "[in bliss] (Uh-huh.) [Kelly picks her nose again]
"
"03" "01" "Choir Teacher:
" "You may think that making fun of Third-World countries is funny, but let me-
"
"03" "01" "Cartman:
" "I don't think it's funny! This place is overcrowded, smelly, and poor! That's not funny, that sucks!
"
"03" "01" "Choir Teacher:
" "Eric, will you please, please, just keep your mouth shut while we present ourselves to the Costa Rican President?
"
"03" "01" "Cartman:
" "Why?
"
"03" "01" "Choir Teacher:
" "Because I'll buy you some ice cream afterwards if you do.
"
"03" "01" "Cartman:
" "Eh-heheh!
"
"03" "01" "
" "[inside the Capitol. All seem to be facing the President]
"
"03" "01" "Choir Teacher:
" "Well, it was a long trip, but the children are very excited to sing tomorrow.
"
"03" "01" "El Presidente:
" "[long pause] ¿Qué?
"
"03" "01" "Choir Teacher:
" "Uh, we're, uh, we're the choir? That, that was sent from... the United States?
"
"03" "01" "El Presidente:
" "[long pause] ¿Qué?
"
"03" "01" "Choir Teacher:
" "We're the group singing for the Save The Rainforest summit tomorrow? [her head is cocked way to the left by now. El Presidente has no clue. Now the teacher is worried] Oh dear, where's, where's Mr. Mackey? He should have been here by now. [faces the kids] Children, do any of you speak Spanish? [Cartman waves his left arm] Don't you dare! [the main door opens]
"
"03" "01" "Mr. Mackey:
" "[rushing in] Sorry I'm late.
"
"03" "01" "Choir Teacher:
" "Ogh! Thank goodness you're here; I don't speak any Spanish.
"
"03" "01" "Mr. Mackey:
" "Oh, no problem. [to El Presidente and his men] Usted es choir de Estados Unidos, mbien?
"
"03" "01" "El Presidente:
" "¡O! ¡O! Save The Rainforest.
"
"03" "01" "Choir Teacher:
" "Yeess!
"
"03" "01" "El Presidente:
" "Pablo los llevará en un tur de la jungla. [Pablo appears]
"
"03" "01" "Mr. Mackey:
" "Uh, he says Pablo here will take you on a rainforest tour.
"
"03" "01" "Choir Teacher:
" "Oh boy! Mr. Presidente, round up your subjects outside. We have a special gift for you. The gift... uh-of song. [moves aside]
"
"03" "01" "El Presidente:
" "[long pause] ¿Qué?
"
"03" "01" "
" "[On the Capitol steps]
"
"03" "01" "Choir Teacher:
" "All right, children, Let's get in our rows quickly, so we can begin.
"
"03" "01" "Kelly:
" "[walks over to Kenny, her partner] Did you remember all the choreography, Lenny?
"
"03" "01" "Kenny:
" "(Yeah, I think so.)
"
"03" "01" "Choir Teacher:
" "Hello, everybody. This is just a little rehearsal for tomorrow, so we may be a little rusty. [chuckles and shrugs. The people just look. She presses the play button. The kids begin to dance to the music]
"
"03" "01" "The Tape:
" "[Intro] Tootin' tootin' to, tada choo choo wow!
[Men sing] There's a place that is magical, and full of rain.
[Women sing] But now it needs help, because it is in pain.
[Men sing] Cleaning the earth is a mighty big chore
[All sing] We're spreading awareness like never before!
[Chorus] Getting Gay With Kids is here! [Kyle is out of step now]
To spread the word and bring you cheer
Let's save the rainforest! What do you say?!
Being an activist is totally gay!
[Bridge. Man sings] Someday if we work hard, boys and girls,
[Woman sings] There'll be nothing but rainforests covering the entire world!
[Man joins her] World!
[Chorus. Kids rush into the audience and bring some members back as new partners]
Getting Gay With Kids is here!
To spread the word and bring you cheer. Yeah!
Getting Gay With Kids is here!
Let's save the rainforest! It's totally gay!
It's totally gay!
[the kids regroup and Kyle stumbles into place. The tape is stopped and the subjects just walk away]

"
"03" "01" "Choir Teacher:
" "Great job, gang! You were really all over the place, Kyle.
"
"03" "01" "Kyle:
" "Thanks!
"
"03" "01" "Cartman:
" "I told you Jewish people don't have rhythm!
"
"03" "01" "Kyle:
" "Fuck off, Cartman!
"
"03" "01" "Stan:
" "No, dude! I think Cartman might actually be right.
"
"03" "01" "Kyle:
" "[alarmed] No! That's a stereotype.
"
"03" "01" "Stan:
" "Dude! Maybe you really don't have any rhythm. [Camera closes in on a stunned Kyle]
"
"03" "01" "
" "[End of act one. Time: 8:24]
"
"03" "01" "
" "[Next day, the sun rises over a sea of green, the canopy of the rainforest. The choir teacher and her group are touring with Pablo]
"
"03" "01" "Pablo:
" "This is now secondary rainforest we are entering. Notice the canopy of foliage.
"
"03" "01" "Choir Teacher:
" "Oh, it's everything I ever dreamed it would be!
"
"03" "01" "Kyle:
" "God-damn, it's hot out here!
"
"03" "01" "Stan:
" "[sees a branch] Aaah! Snake!
"
"03" "01" "Kyle:
" "No, dude. That's a branch.
"
"03" "01" "Stan:
" "Oh. [sees it again] Aaah! Snake!
"
"03" "01" "Kyle:
" "No. That's the same branch again.
"
"03" "01" "Stan:
" "Oh.
"
"03" "01" "Pablo:
" "[turns and stops the group] The rainforest is very delicate, and we must take steps to protect it.
"
"03" "01" "Cartman:
" "[impatient] Yeah yeah yeah, take steps to protect it, blah blah blah. [Pablo looks at him] We here this a million times back up in the States.
"
"03" "01" "Pablo:
" "Here! Look! These are squirrel monkeys. [one sits in a tree, resting] Endangered inhabitants of the rainforest.
"
"03" "01" "Kelly:
" "Wow! Isn't he neat, Lenny? [takes a picture]
"
"03" "01" "Cartman:
" "[takes a branch and starts beating the monkey] Bad! Bad monkey! [it screams in pain]
"
"03" "01" "Choir Teacher:
" "Eric, what the heck are you doing?? [the monkey flees]
"
"03" "01" "Cartman:
" "[stops] I'm asserting myself. It's tough love. Just like my Mr. Kitty. When he's bad I say, Uh that a bad Mr. Kitty! and I smack him on the head!
"
"03" "01" "Pablo:
" "And here is a three-toed sloth. [hangs from a branch with all four legs]
"
"03" "01" "Cartman:
" "[takes the branch and starts beating the sloth] It's bad! It's a bad three-toed sloth!
"
"03" "01" "Choir Teacher:
" "[pulls him away] Eric, for God's sake, knock it off!!
"
"03" "01" "Cartman:
" "[throws the branch at the sloth] Respect my authoritah!
"
"03" "01" "Choir Teacher:
" "Well, Mr. Pedro, this was a great tour, but I guess we should be getting back. We have a big concert tomorrow, Don't we, kids?!
"
"03" "01" "Kids:
" "YEAH!
"
"03" "01" "Choir Boy:
" "I wish we could have seen the Yanogapa.
"
"03" "01" "Kyle:
" "What's the Yanogapa?
"
"03" "01" "Choir Teacher:
" "The Yanogapa are gentle native people that live in the rainforest, but bulldozers are destroying their homes. Soon, they will have nowhere to go. So we must stop bulldozing the rainforest so that they can live-!
"
"03" "01" "Cartman:
" "[fed up, buries his face in his mitts] Aagh Ghyod, here she goes again!!
"
"03" "01" "Stan:
" "AAAAAAA! [hides behind a girl]
"
"03" "01" "Choir Teacher:
" "Stanley, what is it?
"
"03" "01" "Stan:
" "SNAAAKE! [all see and gasp]
"
"03" "01" "Pablo:
" "[standing next to the snake wrapped around a tree trunk] Oh, yes. Uh this is what we call a coral snake. Notice the red markings. Quite an amazing creature.
"
"03" "01" "Stan:
" "AAAAAAA! [runs farther back]
"
"03" "01" "Pablo:
" "What's the matter, little boy?
"
"03" "01" "Cartman:
" "He's a little wuss, what's it look like? [Stan is hiding behind some foliage]
"
"03" "01" "Stan:
" "[lifts some away] I'm just a-scared of snakes.
"
"03" "01" "Pablo:
" "Naw, naw. You must remember. This snake is more afraid of us than we are of it. [the snake jumps out of the tree and wraps itself around him, suffocating him] Oh!! [the snake bites him all over the face. Stan looks and drops the foliage so as to hide, and Pablo falls] Agh.
"
"03" "01" "Choir Teacher:
" "[in horror] Oh my God!! [the snake starts swallowing Pablo]
"
"03" "01" "Cartman:
" "Yeah, that snake is really scared of us all right!
"
"03" "01" "Choir Teacher:
" "[petrified] Jesus Christ, is he dead?! [Pablo's bones come out of the snake's anus]
"
"03" "01" "Stan:
" "Dude!
"
"03" "01" "Kyle:
" "My guess would be 'yes.'
"
"03" "01" "Choir Teacher:
" "Oh, no! God, no, no! [spins around] Don't panic, children.
"
"03" "01" "Cartman:
" "[beats the snake, which turns and comes at him] Bad! That's a bad snay-ah! [hurries away, and the snake gives chase]
"
"03" "01" "
" "[The sun sets over the rainforest. The choir teacher now guides the group...]
"
"03" "01" "Choir Teacher:
" "Maybe we came from that way. [points to her left] No, nno. Let's try this way. [points to her right and moves that way]
"
"03" "01" "Kelly:
" "[walking behind Kenny] Benny? Do you think we're gonna be okay?
"
"03" "01" "Kenny:
" "[stops] (Yeah. Everything is fine.)
"
"03" "01" "Kelly:
" "That's good. Can I tell you something?
"
"03" "01" "Kenny:
" "(Okay.)
"
"03" "01" "Kelly:
" "I think I like you. [holds his shoulder]
"
"03" "01" "Kenny:
" "(Really?!)
"
"03" "01" "Kelly:
" "[releases] Yeah. I mean, I think we communicate really well.
"
"03" "01" "Kenny:
" "(Oh, that's great!)
"
"03" "01" "Kelly:
" "[looks away] No, that's not good.
"
"03" "01" "Kenny:
" "(That's not good?)
"
"03" "01" "Kelly:
" "No. See, if I start to like you too much, [looks away] I'm only going to get my heart broken. 'Cause we live on opposite ends of the country. [looks at him again] Once this choir tour is over, we'll never see each other again. [grabs him and gets emotional] And that would devastate me. [lets go] So I can't have any feelings for you, I just can't, Lenny! [walks away]
"
"03" "01" "Kenny:
" "[pissed] (Aaaargh!)
"
"03" "01" "Choir Teacher:
" "Oh, children, the sun is setting. We have to find our way out of here quick!
"
"03" "01" "
" "[The sun sets and the moon appears over the rainforest. Lightning flashes and the camera slowly drops to ground cover]
"
"03" "01" "Choir Teacher:
" "Whoa-kay, okay, everything is just fine, kids. Now it is important that we all stick together. Is everybody still here?
"
"03" "01" "A Boy:
" "I'm not.
"
"03" "01" "Choir Teacher:
" "Who's not?!
"
"03" "01" "A Boy:
" "Me.
"
"03" "01" "Kelly:
" "Benny, will you hold my hand? [picks her nose. When she lowers her hand, Kenny grabs it, but she looks away] I don't want to get emotionally attached, though.
"
"03" "01" "Stan:
" "Oh my God, dude!! I just saw Tony Danza!!
"
"03" "01" "
" "[Lightning flashes and the group is seen sitting in a row on the ground with Tony Danza visible seated in the middle next to the choir teacher.]
"
"03" "01" "Choir Teacher:
" "No, you didn't just see Tony Danza, Stanley.
"
"03" "01" "
" "[Next day. The sun rises over the Centro Nacional. A rooster crows. A massive stage is prepared for the Save the Rain Forest summit. It looks like an amphitheater, with a scaffold holding ten speakers over the stage and bullhorns atop the pillars. Balloons and a Save the Rain Forest banner are also anchored to the scaffold]
"
"03" "01" "El Presidente:
" "[on stage] Bueno, bueno. Pongan el arcoiris al lado de las tortugas muertas. (Put the rainbow next to the picture of dying sea turtles.) [the worker moves along]
"
"03" "01" "Mr. Mackey:
" "[approaching] Buenos dias, Señor Presidente, ¿mbien? (Hello, El Presidente)
"
"03" "01" "El Presidente:
" "¿Qué tal? ¿Está todo bien? (Oh hello. Is everything going okay?)
"
"03" "01" "Mr. Mackey:
" "Uh, muy bien. Señor Presidente, um... ¿Usted no ha visto el coro, no, mm-hm bien? (Oh fine, fine... You, uh, haven't seen the choir have you?)
"
"03" "01" "El Presidente:
" "¡¿QUÉ?! (WHAT?!)
"
"03" "01" "Mr. Mackey:
" "Parece que anoche no regresaron al hotel, hmbien. (Well, they never came back to the hotel last night...)
"
"03" "01" "El Presidente:
" "¡¿Está bromeando, Mackey?! ¡¡¡Más de cien mil personas atenderan este evento!!! ¡¿Y me dice usted que no tendré a mis chiquitos lindos para que les canten?! (You've got to be kidding!! I have over a hundred thousand people coming to this event!!! Are you telling me that I have no darling little kids to sing to them?!)
"
"03" "01" "Mr. Mackey:
" "Estoy seguro que-uh-mmm, que-aaah llegá- llegáran. No se preocupe. Eh, olvidelo, ¿yeah-mbien? (I am sure they'll get here. No problem, forget I said anything.)
"
"03" "01" "
" "[At the same time, in the rainforest, the group rises and marches on]
"
"03" "01" "Kyle:
" "Dude, we're totally lost! We're gonna die out here!
"
"03" "01" "Kelly:
" "We are?
"
"03" "01" "Choir Teacher:
" "Don't worry, Kelly. We're gonna find our way out of the rainforest and make it back to the concert in time. We just need to respect our mother rainforest so that she will respect us.
"
"03" "01" "Kyle:
" "Miss Stevens, you have a bug on your back.
"
"03" "01" "Miss Stevens:
" "Oh, really? Could you brush it off? [shows her backpack, and a huge insect half her size growls on it]
"
"03" "01" "Kyle:
" "Um, no.
"
"03" "01" "Miss Stevens:
" "[panics] Oh, boy oh!! Oh my God, get it off me!! For the love of God, get it off me!! Oh my God!! [the insect growls and falls silent. Miss Stevens returns] Oh-okay, children. We must understand that the insects of the rainforest help the delicate balance of life here. [sees the insect, still on her back] Oh my God!! [runs off]
"
"03" "01" "Kyle:
" "Rainforests suck! I wanna go home!
"
"03" "01" "Kelly:
" "Me, too! [the rest start to groan]
"
"03" "01" "Miss Stevens:
" "Shh. Children, okay, let's try to listen to what the rainforest tells us. And if we use our ears she can tell us so many things. Perhaps-
"
"03" "01" "Kyle:
" "[Kyle runs into an adult] Aaaaa! There's a dude here! [a soldier holding a shotgun]
"
"03" "01" "Miss Stevens:
" "Oh, thank goodness! Hello, sir. We are lost. [giggles] Cah heh, can you help us?
"
"03" "01" "Soldier:
" "¿Qué?
"
"03" "01" "Cartman:
" "[moves forward] Let me try, let me try. We are from America. A-me-ri-ca. [the soldier listens] We are lost and verry hungry. Necesito burri-tos. [rubs his belly]
"
"03" "01" "Stan:
" "I don't wanna burrito, I want a taco. Supreme.
"
"03" "01" "Cartman:
" "Y taco.
"
"03" "01" "Kyle:
" "I want two tostadas and mild sauce.
"
"03" "01" "Cartman:
" "Two tostadas and mih-um enchilito.
"
"03" "01" "Miss Stevens:
" "Boys, please. Not every Spanish person eats tacos and burritos. That's a stereotype. [the soldier points a way out with his thumb] Children, he wants us to follow him! Oooh, thank goodness! I think this ordeal is over! [they leave]
"
"03" "01" "
" "[The group arrives at a military camp deep in the rainforest. Soldiers go about their maneuvers. The kids pass a small barbed-wire bunker]
"
"03" "01" "Stan:
" "This doesn't look very safe.
"
"03" "01" "Kyle:
" "Yeah. I think we should get the hell out of here.
"
"03" "01" "Miss Stevens:
" "Now kids, let's be a bit more open-minded. I read all about this in Newsweek; this is a people's army. They are fighting the fascist policies of their fascist government. [addresses them with a lilt] Oh, hello. Do you speak of English?
"
"03" "01" "People's Army Leader:
" "[crisp] Who are you?!
"
"03" "01" "Miss Stevens:
" "Oh, wonderful! We were lost, and it is such a great coincidence we found you. You see, we're here to protest the government-sanctioned raping of your rainforest. [the soldiers just stare] We are fighters, just like you. Could you help us get back to San José? [no response] Um... [thinks] Oh, I know! Perhaps you would like a gift.. Well, we have o-honly-hee one gift to give. The gift... of song [she moves aside]
"
"03" "01" "Kids:
" "Honh. [she presses the play button, and the song plays. The kids begin to dance]
"
"03" "01" "Miss Stevens:
" "[through clenched teeth] Kyle, for the love of God, do the right choreography. [as the chorus nears, Kyle is still doing the wrong moves] Oh, Kyle, please! [the kids dance through the first line of the chorus...]
"
"03" "01" "People's Army Leader:
" "Enough! [the music stops]
"
"03" "01" "Miss Stevens:
" "Well, we hope that our gift of song has warmed your hearts.
"
"03" "01" "People's Army Leader:
" "We're not getting gay with any kids, okay?
"
"03" "01" "Miss Stevens:
" "Uh, yah, soooo, do you have a phone we could use?
"
"03" "01" "People's Army Leader:
" "Heehee yes, we have a phone. It's right over there next to the 12-person jacuzzi. [the other men begin to laugh] Now, get out of here before we kill you!
"
"03" "01" "Miss Stevens:
" "[sullen] Is it because of the little Jewish boy's choreography?
"
"03" "01" "Kyle:
" "Hey!
"
"03" "01" "People's Army Leader:
" "[the soldier next to him cocks his shotgun] You white Americans make me sick! [emphasizes his disgust with thumps on the table] You waste food, oil, and everything else because you're so rich, and then you tell the rest of the world to save the rainforest because you like its pretty flowers.
"
"03" "01" "
" "[Two Costa Rican soldiers can be seen behind the gasoline barrels. They pop up and open fire. The people's army immediately responds, and bullets fly everywhere. The kids scream]
"
"03" "01" "People's Army Leader:
" "[waving the choir away] ¡Rapido, rapido! [Kenny steps in front of Kelly to shield her from any shots coming their way]
"
"03" "01" "Miss Stevens:
" "Run, children, run! [the choir moves out]
"
"03" "01" "
" "[End of act two. Time: 15:05]
"
"03" "01" "
" "[Back in San José]
"
"03" "01" "El Presidente:
" "¡¿Donde putos está el coro?! ¡El espectáculo comienza pronto! (Where the hell is our choir?! The show is supposed to start soon!)
"
"03" "01" "Mr. Mackey:
" "No se preocupe, ¿mbien? El Presidente, estáran aqui. Este evento es muy importante para que la maestra del coro se lo pierda. ¿M-m-mbien? (Don't worry, El Presidente, they'll be here. This is too important for the choir teacher to miss.)
"
"03" "01" "
" "[Back in the rainforest. The choir now walks along a river bank]
"
"03" "01" "Miss Stevens:
" "Hello?? Anybody?? Help??
"
"03" "01" "Choir Boy:
" "Wow, look at the pretty flower. [stops by to touch a huge yellow flower with blue support on a large green stalk]
"
"03" "01" "Miss Stevens:
" "Oh nonono, Jake. That fragile flower is very delicate, okay? [before she could finish the sentence, the flower wraps its petals around Jake and pulls him off the floor.]
"
"03" "01" "Jake:
" "Aaaah. Ugh, help!
"
"03" "01" "Miss Stevens:
" "[quakes] Ga-ow! [quickly grabs Jake's feet and pulls. The choir walks on]
"
"03" "01" "Kelly:
" "[crying and pouting] I wanna go home! [Kenny stops and turns] I hate the rainforest!
"
"03" "01" "Kenny:
" "[walks up and puts his arm around her] (Oh, there, there now. There's nothing to be afraid of, dear.) [comforted, she smiles]
"
"03" "01" "Kelly:
" "[gushing] Oh Lenny, hold me. [moves away] No, I can't get attached. [pause, then moves closer] Oh, but I do like you.
"
"03" "01" "Kenny:
" "(Well, I like you-)
"
"03" "01" "Kelly:
" "[moves away] Oh, but you're only going to leave me.
"
"03" "01" "Kenny:
" "[pissed] (Oh, God damn it!)
"
"03" "01" "
" "[San José. The reporters for the telecast have arrived and are in position]
"
"03" "01" "Short Reporter:
" "We're here live in San José, Costa Rica, where hundreds of rich Americans have gathered for the Save the Rain Forest summit. Everyone is here so they can feel good about themselves, and act like they aren't the ones responsible for the rainforest's peril.
"
"03" "01" "Slim Reporter:
" "That's right, Bob, and of course the main attraction today is the darling kids' choir, Getting Gay With Kids, all of whom must be backstage preparing at this very moment.
"
"03" "01" "
" "[The rainforest. The terrain looks familiar...]
"
"03" "01" "Miss Stevens:
" "[the problems mount] Oh, there's just no end to this place! I think maybe we're going in circles. Oh, dear God! The summit starts in an hour; I'm gonna lose my job! [another large insect roars behind her backpack, and she jumps] Aaaah!
"
"03" "01" "Cartman:
" "[turns and walks back the way they came] This is bullcrap! I am not following this stupid hippie around anymore.
"
"03" "01" "Miss Stevens:
" "Eric, where are you going?
"
"03" "01" "Cartman:
" "I'm going this way!
"
"03" "01" "Miss Stevens:
" "Young man, I am the adult here, and I say you go this way!
"
"03" "01" "Cartman:
" "[stops] Look: you can stay over nyah [gestures towards her], but I'm going over nyah. [Gestures away from her]
"
"03" "01" "Miss Stevens:
" "Young man, I have had it!!
"
"03" "01" "Cartman:
" "Nononono! You nyah, me nyah! [gestures forward and backward] Screw you guys, I'ma going home. [walks away]]
"
"03" "01" "Miss Stevens:
